ID,Race,SeatHolder,Gender,TermStart,Birthday,Decision,DaysofTerm,Age,Swearin,Original
321,NC-13,G. Wilmarth Nickel III,Male,2023-01-03,1975-11-23,Retired (Redistricting),672,49,47,TRUE
322,NC-14,Jeffrey N. Jackson,Male,2023-01-03,1982-09-12,Retired (Higher Office),672,42,40,TRUE
323,ND-Sen,Kevin J. Cramer,Male,2019-01-03,1961-01-21,Reelection (Renominated),2133,64,58,TRUE
324,ND-AL,Kelly M. Armstrong,Male,2019-01-03,1976-10-08,Retired (Higher Office),2133,48,42,TRUE
325,OH-Sen,Sherrod C. Brown,Male,2007-01-03,1952-11-09,Reelection (Renominated),6516,72,54,TRUE
326,OH-01,Gregory J. Landsman,Male,2023-01-03,1976-12-04,Reelection (Renominated),672,48,46,TRUE
327,OH-02,Brad R. Wenstrup,Male,2013-01-03,1958-06-17,Retired,4324,66,55,TRUE
328,OH-03,Joyce M. Beatty,Female,2013-01-03,1950-03-12,Reelection (Renominated),4324,75,63,TRUE
329,OH-04,James D. Jordan,Male,2007-01-03,1964-02-17,Reelection (Renominated),6516,61,43,TRUE
330,OH-05,Robert E. Latta,Male,2007-12-13,1956-04-18,Reelection (Renominated),6172,69,52,TRUE
331,OH-06,Michael A. Rulli,Male,2024-06-25,1969-03-11,Reelection (Renominated),133,56,55,TRUE
332,OH-07,Max L. Miller,Male,2023-01-03,1988-11-13,Reelection (Renominated),672,36,34,TRUE
333,OH-08,Warren E. Davidson,Male,2016-06-09,1970-03-01,Reelection (Renominated),3071,55,46,TRUE
334,OH-09,Marcia C. Kaptur,Female,1983-01-03,1946-06-17,Reelection (Renominated),15282,78,37,TRUE
335,OH-10,Michael R. Turner,Male,2003-01-03,1960-01-11,Reelection (Renominated),7977,65,43,TRUE
336,OH-11,Shontel M. Brown,Female,2021-11-04,1975-06-24,Reelection (Renominated),1097,49,46,TRUE
337,OH-12,W. Troy Balderson,Male,2018-09-05,1962-01-16,Reelection (Renominated),2253,63,57,TRUE
338,OH-13,Emilia Strong Sykes,Female,2023-01-03,1986-01-04,Reelection (Renominated),672,39,37,TRUE
339,OH-14,David P. Joyce,Male,2013-01-03,1957-03-17,Reelection (Renominated),4324,68,56,TRUE
340,OH-15,Michael T.W. Carey,Male,2021-11-04,1971-03-13,Reelection (Renominated),1097,54,51,TRUE
341,OK-01,Kevin R. Hern,Male,2018-11-13,1961-12-04,Reelection (Renominated),2184,63,57,TRUE
342,OK-02,Joshua C. Brecheen,Male,2023-01-03,1979-06-19,Reelection (Renominated),672,45,44,TRUE
343,OK-03,Frank D. Lucas,Male,1994-05-10,1960-01-06,Reelection (Renominated),11137,65,34,TRUE
344,OK-04,Thomas J. Cole,Male,2003-01-03,1949-04-28,Reelection (Renominated),7977,76,54,TRUE
345,OK-05,Stephanie I. Bice,Female,2021-01-03,1973-11-11,Reelection (Renominated),1402,51,47,TRUE
346,OR-01,Suzanne M. Bonamici,Female,2012-01-31,1954-10-14,Reelection (Renominated),4662,70,57,TRUE
347,OR-02,Cliff S. Bentz,Male,2021-01-03,1952-01-12,Reelection (Renominated),1402,73,69,TRUE
348,OR-03,Earl F. Blumenauer,Male,1996-05-21,1948-08-16,Retired,10395,76,48,TRUE
349,OR-04,Valerie T. Hoyle,Female,2023-01-03,1964-02-14,Reelection (Renominated),672,61,59,TRUE
350,OR-05,Lori M. Chavez-DeRemer,Female,2023-01-03,1968-04-07,Reelection (Renominated),672,57,55,TRUE
351,OR-06,Andrea R. Salinas,Female,2023-01-03,1969-12-06,Reelection (Renominated),672,55,53,TRUE
352,PA-Sen,"Robert P. Casey, Jr.",Male,2007-01-03,1960-04-13,Reelection (Renominated),6516,65,47,TRUE
353,PA-01,Brian K. Fitzpatrick,Male,2017-01-03,1973-12-17,Reelection (Renominated),2863,51,43,TRUE
354,PA-02,Brendan F. Boyle,Male,2015-01-03,1977-02-06,Reelection (Renominated),3594,48,38,TRUE
355,PA-03,Dwight Evans,Male,2016-11-14,1954-05-16,Reelection (Renominated),2913,70,62,TRUE
356,PA-04,Madeleine Dean Cunnane,Female,2019-01-03,1959-06-06,Reelection (Renominated),2133,65,60,TRUE
357,PA-05,Mary Gay Scanlon,Female,2018-11-13,1959-08-30,Reelection (Renominated),2184,65,59,TRUE
358,PA-06,Christina M. Houlahan,Female,2019-01-03,1967-06-05,Reelection (Renominated),2133,57,52,TRUE
359,PA-07,Susan E. Wild,Female,2018-11-27,1957-06-07,Reelection (Renominated),2170,67,61,TRUE
360,PA-08,Matthew A. Cartwright,Male,2013-01-03,1961-05-01,Reelection (Renominated),4324,64,52,TRUE
361,PA-09,Daniel P. Meuser,Male,2019-01-03,1964-02-10,Reelection (Renominated),2133,61,55,TRUE
362,PA-10,Scott G. Perry,Male,2013-01-03,1962-05-27,Reelection (Renominated),4324,62,51,TRUE
363,PA-11,Lloyd K. Smucker,Male,2017-01-03,1964-01-23,Reelection (Renominated),2863,61,53,TRUE
364,PA-12,Summer L. Lee,Female,2023-01-03,1987-11-26,Reelection (Renominated),672,37,35,TRUE
365,PA-13,John P. Joyce,Male,2019-01-03,1957-02-08,Reelection (Renominated),2133,68,62,TRUE
366,PA-14,Guy L. Reschenthaler,Male,2019-01-03,1983-04-17,Reelection (Renominated),2133,42,36,TRUE
367,PA-15,"Glenn W. Thompson, Jr.",Male,2009-01-03,1959-07-27,Reelection (Renominated),5785,65,49,TRUE
368,PA-16,"George J. ""Mike"" Kelly, Jr.",Male,2011-01-03,1948-05-10,Reelection (Renominated),5055,76,63,TRUE
369,PA-17,Christopher R. Deluzio,Male,2023-01-03,1984-07-13,Reelection (Renominated),672,40,38,TRUE
370,RI-Sen,Sheldon Whitehouse,Male,2007-01-03,1955-10-20,Reelection (Renominated),6516,69,51,TRUE
371,RI-01,Gabriel F.K. Amo,Male,2023-11-13,1987-12-11,Reelection (Renominated),358,37,36,TRUE
372,RI-02,Seth M. Magaziner,Male,2023-01-03,1983-07-22,Reelection (Renominated),672,41,39,TRUE
373,SC-01,Nancy R. Mace,Female,2021-01-03,1977-12-04,Reelection (Renominated),1402,47,43,TRUE
374,SC-02,"Addison G. ""Joe"" Wilson",Male,2001-12-18,1947-07-31,Reelection (Renominated),8358,77,54,TRUE
375,SC-03,Jeffrey D. Duncan,Male,2011-01-03,1966-01-07,Retired,5055,59,45,TRUE
376,SC-04,William R. Timmons IV,Male,2019-01-03,1984-04-30,Reelection (Renominated),2133,41,35,TRUE
377,SC-05,"Ralph W. Norman, Jr.",Male,2017-06-20,1953-06-20,Reelection (Renominated),2695,71,64,TRUE
378,SC-06,James E. Clyburn,Male,1993-01-03,1940-07-21,Reelection (Renominated),11629,84,52,TRUE
379,SC-07,Russell W. Fry,Male,2023-01-03,1985-01-31,Reelection (Renominated),672,40,38,TRUE
380,SD-AL,Dustin M. Johnson,Male,2019-01-03,1976-09-30,Reelection (Renominated),2133,48,42,TRUE
381,TN-Sen,M. Marsha Blackburn,Female,2019-01-03,1952-06-06,Reelection (Renominated),2133,72,67,TRUE
382,TN-01,Diana L. Harshbarger,Female,2021-01-03,1960-01-01,Reelection (Renominated),1402,65,61,TRUE
383,TN-02,Timothy F. Burchett,Male,2019-01-03,1964-08-25,Reelection (Renominated),2133,60,54,TRUE
384,TN-03,Charles J. Fleischmann,Male,2011-01-03,1962-10-11,Reelection (Renominated),5055,62,48,TRUE
385,TN-04,Scott E. DesJarlais,Male,2011-01-03,1964-02-21,Reelection (Renominated),5055,61,47,TRUE
386,TN-05,W. Andrew Ogles IV,Male,2023-01-03,1971-06-18,Reelection (Renominated),672,53,52,TRUE
387,TN-06,John W. Rose,Male,2019-01-03,1965-02-23,Reelection (Renominated),2133,60,54,TRUE
388,TN-07,Mark E. Green,Male,2019-01-03,1964-11-08,Reelection (Renominated),2133,60,54,TRUE
389,TN-08,David F. Kustoff,Male,2017-01-03,1966-10-08,Reelection (Renominated),2863,58,50,TRUE
390,TN-09,Stephen I. Cohen,Male,2007-01-03,1949-05-24,Reelection (Renominated),6516,75,58,TRUE
391,TX-Sen,R. Edward Cruz,Male,2013-01-03,1970-12-22,Reelection (Renominated),4324,54,42,TRUE
392,TX-01,Nathaniel Q. Moran,Male,2023-01-03,1974-09-23,Reelection (Renominated),672,50,48,TRUE
393,TX-02,Daniel R. Crenshaw,Male,2019-01-03,1984-03-14,Reelection (Renominated),2133,41,35,TRUE
394,TX-03,Keith A. Self,Male,2023-01-03,1953-03-20,Reelection (Renominated),672,72,70,TRUE
395,TX-04,Patrick E. Fallon,Male,2021-01-03,1967-12-19,Reelection (Renominated),1402,57,53,TRUE
396,TX-05,Lance C. Gooden,Male,2019-01-03,1982-12-01,Reelection (Renominated),2133,42,36,TRUE
397,TX-06,"John K. ""Jake"" Ellzey, Sr.",Male,2021-07-30,1970-01-24,Reelection (Renominated),1194,55,52,TRUE
398,TX-07,Elizabeth Ann Fletcher,Female,2019-01-03,1975-02-13,Reelection (Renominated),2133,50,44,TRUE
399,TX-08,Morgan J. Luttrell,Male,2023-01-03,1975-11-07,Reelection (Renominated),672,49,47,TRUE
400,TX-09,Alexander N. Green,Male,2005-01-03,1947-09-01,Reelection (Renominated),7246,77,57,TRUE
401,TX-10,Michael T. McCaul,Male,2005-01-03,1962-01-14,Reelection (Renominated),7246,63,43,TRUE
402,TX-11,August L. Pfluger,Male,2021-01-03,1978-12-28,Reelection (Renominated),1402,46,42,TRUE
403,TX-12,N. Kay Granger,Female,1997-01-03,1943-01-18,Retired,10168,82,54,TRUE
404,TX-13,Ronny L. Jackson,Male,2021-01-03,1967-05-04,Reelection (Renominated),1402,58,54,TRUE
405,TX-14,Randall K. Weber,Male,2013-01-03,1953-07-02,Reelection (Renominated),4324,71,60,TRUE
406,TX-15,Monica De La Cruz,Female,2023-01-03,1974-11-11,Reelection (Renominated),672,50,48,TRUE
407,TX-16,Veronica Escobar,Female,2019-01-03,1969-09-15,Reelection (Renominated),2133,55,49,TRUE
408,TX-17,Peter A. Sessions,Male,2021-01-03,1955-03-22,Reelection (Renominated),1402,70,66,TRUE
409,TX-18 (Special),Sheila Jackson Lee,Female,1995-01-03,1950-01-12,Death,10899,75,45,TRUE
410,TX-18,Sheila Jackson Lee,Female,1995-01-03,1950-01-12,Death,10899,75,45,TRUE
411,TX-19,Jodey C. Arrington,Male,2017-01-03,1972-03-09,Reelection (Renominated),2863,53,45,TRUE
412,TX-20,Joaquin Castro,Male,2013-01-03,1974-09-16,Reelection (Renominated),4324,50,38,TRUE
413,TX-21,"Charles E. ""Chip"" Roy",Male,2019-01-03,1972-08-07,Reelection (Renominated),2133,52,46,TRUE
414,TX-22,Troy E. Nehls,Male,2021-01-03,1968-04-07,Reelection (Renominated),1402,57,53,TRUE
415,TX-23,E. Anthony Gonzales II,Male,2021-01-03,1980-10-10,Reelection (Renominated),1402,44,40,TRUE
416,TX-24,Elizabeth Ann Van Duyne,Female,2021-01-03,1970-11-16,Reelection (Renominated),1402,54,50,TRUE
417,TX-25,J. Roger Williams,Male,2013-01-03,1949-09-13,Reelection (Renominated),4324,75,63,TRUE
418,TX-26,Michael C. Burgess,Male,2003-01-03,1950-12-23,Retired,7977,74,52,TRUE
419,TX-27,Michael J. Cloud,Male,2018-07-10,1975-05-13,Reelection (Renominated),2310,49,43,TRUE
420,TX-28,"Enrique R. ""Henry"" Cuellar",Male,2005-01-03,1955-09-19,Reelection (Renominated),7246,69,49,TRUE
421,TX-29,Sylvia R. Garcia,Female,2019-01-03,1950-09-06,Reelection (Renominated),2133,74,68,TRUE
422,TX-30,Jasmine F. Crockett,Female,2023-01-03,1981-03-29,Reelection (Renominated),672,44,42,TRUE
423,TX-31,John R. Carter,Male,2003-01-03,1941-11-06,Reelection (Renominated),7977,83,61,TRUE
424,TX-32,Colin Z. Allred,Male,2019-01-03,1983-04-15,Retired (Higher Office),2133,42,36,TRUE
425,TX-33,Marc A. Veasey,Male,2013-01-03,1971-01-03,Reelection (Renominated),4324,54,42,TRUE
426,TX-34,"Vicente Gonzalez, Jr.",Male,2017-01-03,1967-09-04,Reelection (Renominated),2863,57,49,TRUE
427,TX-35,Gregorio E. Casar,Male,2023-01-03,1989-05-04,Reelection (Renominated),672,36,34,TRUE
428,TX-36,Brian P. Babin,Male,2015-01-03,1948-03-23,Reelection (Renominated),3594,77,67,TRUE
429,TX-37,Lloyd A. Doggett II,Male,1995-01-03,1946-10-06,Reelection (Renominated),10899,78,48,TRUE
430,TX-38,Wesley P. Hunt,Male,2023-01-03,1981-11-13,Reelection (Renominated),672,43,41,TRUE
431,UT-Sen,W. Mitt Romney,Male,2019-01-03,1947-03-12,Retired,2133,78,72,TRUE
432,UT-01,Blake D. Moore,Male,2021-01-03,1980-06-22,Reelection (Renominated),1402,44,41,TRUE
433,UT-02,Celeste Maloy,Female,2023-11-28,1981-05-22,Reelection (Renominated),343,43,43,TRUE
434,UT-03,John R. Curtis,Male,2017-11-13,1960-05-10,Retired (Higher Office),2549,64,58,TRUE
435,UT-04,C. Burgess Owens,Male,2021-01-03,1951-08-02,Reelection (Renominated),1402,73,69,TRUE
436,VT-Sen,Bernard Sanders,Male,2007-01-03,1941-09-08,Reelection (Renominated),6516,83,65,TRUE
437,VT-AL,Rebecca A. Balint,Female,2023-01-03,1968-05-04,Reelection (Renominated),672,57,55,TRUE
438,VA-Sen,Timothy M. Kaine,Male,2009-01-03,1958-02-26,Reelection (Renominated),5785,67,51,TRUE
439,VA-01,Robert J. Wittman,Male,2007-12-11,1959-02-03,Reelection (Renominated),6174,66,49,TRUE
440,VA-02,Jennifer Ann Kiggans,Female,2023-01-03,1971-06-18,Reelection (Renominated),672,53,52,TRUE
441,VA-03,Robert C. Scott,Male,1993-01-03,1947-04-30,Reelection (Renominated),11629,78,46,TRUE
442,VA-04,Jennifer L. McClellan,Female,2023-03-07,1972-12-28,Reelection (Renominated),609,52,50,TRUE
443,VA-05,Robert G. Good,Male,2021-01-03,1965-09-11,Reelection (Lost Renomination),1402,59,55,TRUE
444,VA-06,Benjamin L. Cline,Male,2019-01-03,1972-02-29,Reelection (Renominated),2133,53,47,TRUE
445,VA-07,Abigail A.D. Spanberger,Female,2019-01-03,1979-08-07,Retired (Higher Office),2133,45,39,TRUE
446,VA-08,"Donald S. Beyer, Jr.",Male,2015-01-03,1950-06-20,Reelection (Renominated),3594,74,65,TRUE
447,VA-09,H. Morgan Griffith,Male,2011-01-03,1958-03-15,Reelection (Renominated),5055,67,53,TRUE
448,VA-10,Jennifer L. Wexton,Female,2019-01-03,1968-05-27,Retired,2133,56,51,TRUE
449,VA-11,Gerald E. Connolly,Male,2009-01-03,1950-03-30,Reelection (Renominated),5785,75,59,TRUE
450,WA-Sen,Maria E. Cantwell,Female,2001-01-03,1958-10-13,Reelection (Renominated),8707,66,42,TRUE
451,WA-01,Suzan K. DelBene,Female,2012-11-13,1962-02-17,Reelection (Renominated),4375,63,51,TRUE
452,WA-02,Richard R. Larsen,Male,2001-01-03,1965-06-15,Reelection (Renominated),8707,59,36,TRUE
453,WA-03,K. Marie Gluesenkamp Perez,Female,2023-01-03,1988-06-06,Reelection (Renominated),672,36,35,TRUE
454,WA-04,Daniel M. Newhouse,Male,2015-01-03,1955-07-10,Reelection (Renominated),3594,69,59,TRUE
455,WA-05,Cathy A. McMorris Rodgers,Female,2005-01-03,1969-05-22,Retired,7246,55,36,TRUE
456,WA-06,Derek C. Kilmer,Male,2013-01-03,1974-01-01,Retired,4324,51,39,TRUE
457,WA-07,Pramila Jayapal,Female,2017-01-03,1965-09-21,Reelection (Renominated),2863,59,51,TRUE
458,WA-08,Kimberly M. Schrier,Female,2019-01-03,1968-08-23,Reelection (Renominated),2133,56,50,TRUE
459,WA-09,D. Adam Smith,Male,1997-01-03,1965-06-15,Reelection (Renominated),10168,59,32,TRUE
460,WA-10,Marilyn Strickland,Female,2021-01-03,1962-09-25,Reelection (Renominated),1402,62,58,TRUE
461,WV-Sen,Joseph A. Manchin III,Male,2010-11-15,1947-08-24,Retired,5104,77,63,TRUE
462,WV-01,Carol D. Miller,Female,2019-01-03,1950-11-04,Reelection (Renominated),2133,74,68,TRUE
463,WV-02,Alexander X. Mooney,Male,2015-01-03,1971-06-07,Retired (Higher Office),3594,53,44,TRUE
464,WI-Sen,Tammy S.G. Baldwin,Female,2013-01-03,1962-02-11,Reelection (Renominated),4324,63,51,TRUE
465,WI-01,Bryan G. Steil,Male,2019-01-03,1981-03-03,Reelection (Renominated),2133,44,38,TRUE
466,WI-02,Mark W. Pocan,Male,2013-01-03,1964-08-14,Reelection (Renominated),4324,60,48,TRUE
467,WI-03,Derrick F. Van Orden,Male,2023-01-03,1969-09-15,Reelection (Renominated),672,55,53,TRUE
468,WI-04,Gwendolynne S. Moore,Female,2005-01-03,1951-04-18,Reelection (Renominated),7246,74,54,TRUE
469,WI-05,Scott L. Fitzgerald,Male,2021-01-03,1963-11-16,Reelection (Renominated),1402,61,57,TRUE
470,WI-06,Glenn S. Grothman,Male,2015-01-03,1955-07-03,Reelection (Renominated),3594,69,60,TRUE
471,WI-07,Thomas P. Tiffany,Male,2020-05-19,1957-12-30,Reelection (Renominated),1631,67,62,TRUE
472,WI-08 (Special),Michael J. Gallagher,Male,2017-01-03,1984-03-03,Resignation,2863,41,33,TRUE
473,WI-08,Michael J. Gallagher,Male,2017-01-03,1984-03-03,Resignation,2863,41,33,TRUE
474,WY-Sen,John A. Barrasso III,Male,2007-06-25,1952-07-21,Reelection (Renominated),6343,72,55,TRUE
475,WY-AL,Harriet M. Hageman,Female,2023-01-03,1962-10-18,Reelection (Renominated),672,62,60,TRUE
476,AS-Del,Amata C. Coleman Radewagen,Female,2015-01-03,1947-12-29,Reelection (Renominated),3594,77,67,TRUE
477,DC-Del,Eleanor K. Holmes Norton,Female,1991-01-03,1937-06-13,Reelection (Renominated),12360,87,54,TRUE
478,GU-Del,James C. Moylan,Male,2023-01-03,1962-07-18,Reelection (Renominated),672,62,60,TRUE
479,NMI-Del,Gregorio K.C. Sablan,Male,2009-01-03,1955-01-19,Retired,5785,70,54,TRUE
480,PR-Del,Jenniffer González-Colón,Female,2017-01-03,1976-08-05,Retired (Higher Office),2863,48,40,TRUE
481,VI-Del,Stacey E. Plaskett,Female,2015-01-03,1966-05-13,Reelection (Renominated),3594,58,49,TRUE
